日期,首例死亡日期,1月11日,2月1日,3月1日,4月1日,5月1日,6月1日,7月1日,8月1日,9月1日,10月1日,11月1日,12月1日
全球,,1,259,"2,977","40,598","224,172","371,166","508,055","675,060","848,445","1,010,639","1,192,911","1,465,144"
死亡數翻倍天數,,6,4,16,8,18,37,56,70,80,94,101,110
國家和地區,,1,1,8,125,175,185,186,192,191,193,193,193
美國,2020年3月3日,0,0,0,"2,850","55,337","102,640","126,573","151,265","182,162","204,642","228,185","264,808"
巴西,2020年3月19日,0,0,0,159,"5,466","28,834","58,314","91,263","120,828","142,921","159,477","172,833"
印度,2020年3月13日,0,0,0,38,"1,147","5,394","17,400","36,511","65,288","98,678","122,111","137,621"
墨西哥,2020年3月20日,0,0,0,28,"1,732","9,779","27,121","46,000","64,158","77,163","91,289","105,655"
英國,2020年3月7日,0,0,0,"1,789","26,771","38,489","43,730","46,119","41,501","42,143","46,555","58,448"
義大利,2020年2月23日,0,0,29,"12,430","27,967","33,415","34,767","35,141","35,483","35,894","38,618","55,576"
法國,2020年2月16日,0,0,2,"3,514","24,342","28,746","29,760","30,147","30,494","31,746","36,473","52,371"
伊朗,2020年2月20日,0,0,43,"2,898","6,028","7,797","10,817","16,766","21,571","26,169","34,864","48,246"
西班牙,2020年3月5日,0,0,0,"8,189","24,543","29,045","28,355","28,445","29,141","31,791","35,878","45,069"
俄羅斯,2020年3月26日,0,0,0,17,"1,169","4,855","9,536","14,058","17,299","20,891","28,235","40,464"
阿根廷,2020年3月8日,0,0,0,24,215,530,"1,283","3,466","8,498","16,519","30,792","38,473"
哥倫比亞,2020年3月23日,0,0,0,14,278,890,"3,223","9,810","19,364","25,828","31,135","36,584"
秘魯,2020年3月21日,0,0,0,24,943,"4,371","9,504","19,021","28,788","32,396","34,411","35,923"
南非,2020年3月28日,0,0,0,5,103,683,"2,657","8,005","14,149","16,734","19,276","21,535"
波蘭,2020年3月13日,0,0,0,33,644,"1,064","1,463","1,716","2,039","2,513","5,631","17,150"
印度尼西亞,2020年3月11日,0,0,0,136,792,"1,613","2,876","5,131","7,417","10,740","13,869","16,945"
比利時,2020年3月16日,0,0,0,705,"7,594","9,467","9,754","9,841","9,897","10,020","11,734","16,645"
德國,2020年3月10日,0,0,0,732,"6,288","8,511","8,985","9,148","9,302","9,500","10,481","16,636"
智利,2020年3月22日,0,0,0,12,227,"1,054","5,688","9,457","11,289","12,741","14,207","15,410"
土耳其,2020年3月18日,0,0,0,214,"3,174","4,540","5,131","5,691","6,370","8,195","10,252","13,746"
厄瓜多,2020年3月16日,0,0,0,75,900,"3,358","4,527","5,702","6,556","11,355","12,670","13,461"
烏克蘭,2020年3月14日,0,0,0,17,272,718,"1,173","1,709","2,605","4,193","7,306","12,548"
伊拉克,2020年3月5日,0,0,0,50,93,205,"1,943","4,741","7,042","9,181","10,910","12,258"
加拿大,2020年3月11日,0,0,0,89,"3,082","7,092","8,566","8,929","9,117","9,291","10,110","12,032"
羅馬尼亞,2020年3月23日,0,0,0,69,717,"1,262","1,651","2,343","3,621","4,825","6,968","11,331"
荷蘭,2020年3月7日,0,0,0,"1,039","4,795","5,956","6,113","6,147","6,215","6,397","7,385","9,363"
玻利維亞,2020年3月31日,0,0,0,6,59,310,"1,071","2,894","4,966","7,931","8,715","8,952"
菲律賓,2020年2月2日,0,0,1,88,568,957,"1,266","2,023","3,558","5,504","7,221","8,392"
捷克,2020年3月23日,0,0,0,31,236,320,349,382,424,655,"3,251","8,295"
巴基斯坦,2020年3月20日,0,0,0,26,385,"1,543","4,395","5,951","6,298","6,479","6,806","8,025"
瑞典,2020年3月16日,0,0,0,180,"2,586","4,395","5,333","5,743","5,820","5,893","5,938","6,681"
埃及,2020年3月9日,0,0,0,46,392,959,"2,953","4,805","5,421","5,914","6,266","6,650"
孟加拉,2020年3月20日,0,0,0,6,168,650,"1,847","3,111","4,281","5,251","5,923","6,644"
沙烏地阿拉伯,2020年3月25日,0,0,0,10,162,503,"1,649","2,866","3,897","4,768","5,402","5,896"
摩洛哥,2020年3月11日,0,0,0,36,170,205,228,353,"1,141","2,152","3,695","5,846"
匈牙利,2020年3月16日,0,0,0,16,323,526,585,596,615,781,"1,819","4,977"
中國,2020年1月11日,1,259,"2,873","3,321","4,643","4,645","4,648","4,668","4,730","4,746","4,746","4,750"
葡萄牙,2020年3月18日,0,0,0,160,989,"1,410","1,576","1,735","1,822","1,971","2,507","4,505"
瑞士,2020年3月6日,0,0,0,373,"1,422","1,656","1,683","1,703","1,725","1,782","2,035","4,430"
瓜地馬拉,2020年3月16日,0,0,0,1,16,102,746,"1,924","2,760","3,246","3,729","4,171"
